Date,Germany: Stock Market,Germany: Currency,Germany: Interest Rate,BGF US Growth A2 {USD},prediction
,9920.92,1.3592,0.15,13.03,12.857843
,9920.92,1.3592,0.15,13.03,12.863146
,9938.08,1.3596,0.15,13.05,12.863891
,9867.75,1.3633,0.15,13.0,12.884918
,9804.9,1.3589,0.15,13.09,12.818107
,9815.17,1.364,0.15,13.15,12.891262
,9833.07,1.3691,0.15,13.15,12.930778
,9833.07,1.3691,0.15,13.15,12.936323
,9833.07,1.3691,0.15,13.22,12.943626
,9902.41,1.3679,0.15,13.3,13.00149
,9911.27,1.3654,0.15,13.38,13.087517
,10029.43,1.361,0.15,13.4,13.156287
,10009.08,1.3589,0.15,13.44,13.208969
,9906.07,1.3596,0.15,13.44,13.230617
,9906.07,1.3596,0.15,13.44,13.19832
,9906.07,1.3596,0.15,13.4,13.204485
,9772.67,1.3614,0.15,13.2,13.173315
,9808.2,1.364,0.15,13.12,12.97031
,9659.13,1.3601,0.15,13.04,12.920107
,9666.34,1.3599,0.15,13.15,12.820368
,9783.01,1.3627,0.15,13.15,12.915052
,9783.01,1.3627,0.15,13.15,12.939303
,9783.01,1.3627,0.15,13.26,12.940408
,9719.41,1.3569,0.15,13.29,13.0294
,9859.27,1.3535,0.15,13.2,13.04464
,9753.88,1.3518,0.15,13.15,13.011561
,9720.02,1.3509,0.15,13.08,12.937606
,9612.05,1.3519999999999999,0.15,13.08,12.872158
,9612.05,1.3519999999999999,0.15,13.08,12.843012
,9612.05,1.3519999999999999,0.15,13.16,12.84872
,9734.33,1.3467,0.15,13.23,12.916565
,9753.56,1.3463,0.15,13.29,13.015069
,9794.06,1.3469,0.15,13.3,13.059446
,9644.01,1.3433,0.15,13.32,13.075544
,9598.17,1.3439,0.15,13.32,13.057231
,9598.17,1.3439,0.15,13.32,13.046422
,9598.17,1.3439,0.15,13.27,13.052748
,9653.63,1.3411,0.15,13.32,13.013424
,9593.68,1.3378,0.15,13.32,13.075762
,9407.48,1.338,0.15,13.17,13.057557
,9210.08,1.3429,0.15,13.1,12.883838
,9154.14,1.3419,0.15,13.1,12.780052
,9154.14,1.3419,0.15,13.1,12.78464
,9154.14,1.3419,0.15,13.07,12.789224
,9189.74,1.3369,0.15,13.04,12.767905
,9130.04,1.3356,0.15,12.98,12.762998
